id,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
34557,L48795,L,297.8,307.8,1447,48.6,46,0,0,0,0,0,0
34558,L50462,L,301.2,309.9,1515,40.9,5,0,0,0,0,0,0
34559,L53432,L,300.8,310.4,1438,36.1,5,0,0,0,0,0,0
34560,L47402,L,298.4,308.6,1499,40.0,158,0,0,0,0,0,0
34561,L50285,L,299.8,309.1,1612,40.2,205,0,0,0,0,0,0
34562,L56282,L,297.3,308.3,1494,37.7,14,0,0,0,0,0,0
34563,L50752,L,301.8,310.6,1451,51.7,108,0,0,0,0,0,0
34564,M19200,M,301.7,309.8,1597,32.7,111,0,0,0,0,0,0
34565,M15766,M,295.6,306.1,1335,57.2,121,0,0,0,0,0,0
34566,L51062,L,302.3,311.6,1419,43.7,139,0,0,0,0,0,0
34567,L52594,L,303.5,312.3,1650,30.3,31,0,0,0,0,0,0
34568,L51137,L,302.2,311.4,1466,47.5,0,0,0,0,0,0,0
34569,L55263,L,300.3,311.9,1370,54.5,139,0,0,0,0,0,0
34570,L47962,L,296.8,307.9,1498,45.7,48,0,0,0,0,0,0
34571,L51733,L,302.6,310.5,1505,41.3,0,0,0,0,0,0,0
34572,H29921,H,297.8,309.3,1801,25.8,111,0,0,0,0,0,0
34573,L47887,L,297.7,308.9,1489,40.3,0,0,0,0,0,0,0
34574,L48030,L,295.6,307.3,1382,43.2,7,0,0,0,0,0,0
34575,L56684,L,299.2,310.3,1567,36.6,21,0,0,0,0,0,0
34576,M16772,M,298.1,307.8,1435,45.9,194,0,0,0,0,0,0
34577,L50597,L,301.5,310.5,1465,36.0,137,0,0,0,0,0,0
34578,L53413,L,301.2,310.9,1467,50.0,153,0,0,0,0,0,0
34579,L55550,L,298.8,309.9,1321,48.1,48,0,0,0,0,0,0
34580,M15588,M,297.3,308.7,1336,53.4,155,0,0,0,0,0,0
34581,H35117,H,301.7,310.6,1498,37.7,91,0,0,0,0,0,0
34582,L51638,L,302.5,310.3,1437,47.3,139,0,0,0,0,0,0
34583,L54716,L,300.0,311.3,1495,44.1,58,0,0,0,0,0,0
34584,M23705,M,297.4,308.9,1422,41.4,201,0,0,0,0,0,0
34585,M16098,M,297.1,308.4,1465,41.3,76,0,0,0,0,0,0
34586,L50824,L,302.2,311.5,1736,25.5,153,0,0,0,0,0,0
34587,M21994,M,300.5,310.0,1567,36.7,0,0,0,0,0,0,0
34588,L55424,L,299.0,310.4,1553,38.8,0,0,0,0,0,0,0
34589,L57038,L,298.5,309.5,1547,24.8,17,0,0,0,0,0,0
34590,L53436,L,301.0,310.6,1493,37.8,206,1,1,0,0,1,0
34591,L55127,L,300.8,311.7,1402,47.7,168,0,0,0,0,0,0
34592,L50024,L,300.3,309.2,1445,41.1,13,0,0,0,0,0,0
34593,M23110,M,299.0,310.4,1408,50.9,122,0,0,0,0,0,0
34594,L56160,L,297.0,307.8,1546,37.9,163,0,0,0,0,0,0
34595,M17124,M,299.2,308.4,1415,44.5,53,0,0,0,0,0,0
34596,L53392,L,300.8,310.6,1360,53.5,93,0,0,0,0,0,0
34597,M20173,M,303.5,312.8,1366,50.9,9,0,0,0,0,0,0
34598,L55313,L,299.8,311.1,1466,46.1,64,0,0,0,0,0,0
34599,L49056,L,298.3,308.0,1662,30.5,98,0,0,0,0,0,0
34600,H35920,H,301.0,310.1,1453,44.1,217,0,0,0,0,0,0
34601,M20804,M,300.7,310.6,1484,44.2,84,0,0,0,0,0,0
34602,L48334,L,296.9,307.8,1446,42.3,177,0,0,0,0,0,0
34603,L50931,L,302.3,311.0,1408,52.7,106,0,0,0,0,0,0
34604,M16370,M,298.1,308.7,1438,41.9,0,0,0,0,0,0,0
34605,L53185,L,300.6,310.6,1570,38.3,14,0,0,0,0,0,0
34606,L55691,L,298.4,309.6,1466,44.2,155,0,0,0,0,0,0
34607,L49985,L,299.8,309.1,1419,44.3,160,0,0,0,0,0,0
34608,L48395,L,296.9,307.9,1709,28.4,33,0,0,0,0,0,0
34609,L53851,L,301.5,310.6,1536,39.4,192,0,0,0,0,0,0
34610,M24410,M,299.3,311.0,1451,43.3,13,0,0,0,0,0,0
34611,M17095,M,299.4,308.6,1455,42.7,15,0,0,0,0,0,0
34612,M17626,M,299.9,309.4,1889,26.0,173,0,0,0,0,0,0
34613,L55508,L,298.7,309.5,1539,37.9,127,0,0,0,0,0,0
34614,L48409,L,297.1,308.4,1304,47.3,153,0,0,0,0,0,0
34615,L49343,L,299.6,309.1,1553,39.3,219,0,0,0,0,0,0
34616,M23821,M,297.3,308.0,1403,45.0,119,0,0,0,0,0,0
34617,L51967,L,303.7,312.6,1378,47.4,115,0,0,0,0,0,0
34618,M24143,M,298.3,309.3,1422,42.7,0,0,0,0,0,0,0
34619,L55782,L,297.4,308.1,1395,43.9,202,0,0,0,0,0,0
34620,M24031,M,297.8,308.9,1388,42.0,190,0,0,0,0,0,0
34621,M16136,M,298.8,309.8,1496,40.7,83,0,0,0,0,0,0
34622,L48576,L,298.6,310.2,1438,43.3,70,0,0,0,0,0,0
34623,L49292,L,299.5,309.1,1572,47.6,104,0,0,0,0,0,0
34624,L54188,L,300.7,310.6,1464,35.2,10,0,0,0,0,0,0
34625,L53038,L,301.5,311.1,1348,44.5,188,0,0,0,0,0,0
34626,L48261,L,297.0,307.8,1496,40.2,190,0,0,0,0,0,0
34627,M20021,M,304.2,313.2,2028,18.9,63,0,0,0,0,0,0
34628,L47786,L,297.0,307.9,1474,39.2,113,0,0,0,0,0,0
34629,L55382,L,299.3,310.9,1547,35.2,7,0,0,0,0,0,0
34630,L53766,L,301.4,310.8,1453,43.7,44,0,0,0,0,0,0
34631,L53128,L,300.7,310.8,1802,27.1,101,0,0,0,0,0,0
34632,L54171,L,300.8,311.1,1417,43.4,172,0,0,0,0,0,0
34633,H36416,H,300.5,310.3,1608,31.1,23,0,0,0,0,0,0
34634,H30639,H,297.1,308.3,1858,24.5,141,0,0,0,0,0,0
34635,M22856,M,301.0,312.2,1499,44.5,140,0,0,0,0,0,0
34636,M21756,M,301.0,311.6,1454,40.0,173,0,0,0,0,0,0
34637,L53270,L,300.9,310.8,1564,38.2,12,0,0,0,0,0,0
34638,L51343,L,302.1,310.5,1696,47.0,107,0,0,0,0,0,0
34639,M19751,M,303.7,312.3,1556,36.1,190,0,0,0,0,0,0
34640,H37740,H,298.6,309.5,1323,49.2,125,0,0,0,0,0,0
34641,L54263,L,300.7,310.4,1416,61.8,94,0,0,0,0,0,0
34642,L56466,L,298.2,308.9,1563,34.6,61,0,0,0,0,0,0
34643,M16078,M,296.9,308.2,1445,43.7,113,0,0,0,0,0,0
34644,H33013,H,301.7,310.5,1388,65.4,176,1,0,1,0,0,0
34645,L54665,L,300.3,311.6,1427,45.8,154,0,0,0,0,0,0
34646,L49392,L,299.7,309.1,1497,41.0,181,0,0,0,0,0,0
34647,L47345,L,298.5,308.4,1514,41.2,8,0,0,0,0,0,0
34648,L50305,L,300.1,309.5,1524,41.2,44,0,0,0,0,0,0
34649,L55668,L,298.4,309.5,1457,43.2,119,0,0,0,0,0,0
34650,L54973,L,300.1,311.5,1434,40.6,80,0,0,0,0,0,0
34651,L55333,L,299.6,310.8,1492,42.4,108,0,0,0,0,0,0
34652,L53758,L,301.4,310.4,1543,43.0,190,0,0,0,0,0,0
34653,L56583,L,297.9,308.1,1435,48.1,179,0,0,0,0,0,0
34654,H31534,H,299.3,308.8,1908,21.3,179,0,0,0,0,0,0
34655,L50195,L,300.4,309.8,1533,38.8,177,0,0,0,0,0,0
34656,M20785,M,300.2,310.2,1566,31.3,104,0,0,0,0,0,0
34657,M22016,M,300.2,310.0,1648,29.0,179,0,0,0,0,0,0
34658,H32914,H,301.8,310.7,1429,46.1,66,0,0,0,0,0,0
34659,M18691,M,302.2,310.9,1715,33.0,155,0,0,0,0,0,0
34660,L51638,L,302.4,310.4,1478,47.7,189,0,0,0,0,0,0
34661,L51302,L,302.0,310.5,1433,43.5,0,0,0,0,0,0,0
34662,L55619,L,298.9,310.1,1694,30.0,207,0,0,0,0,0,0
34663,L53217,L,300.7,311.1,1426,40.2,97,0,0,0,0,0,0
34664,M18438,M,301.8,310.5,1625,24.7,121,0,0,0,0,0,0
34665,H39069,H,299.0,310.2,1692,30.8,79,0,0,0,0,0,0
34666,L53303,L,300.9,310.9,1376,59.5,100,0,0,0,0,0,0
34667,L56917,L,298.9,310.0,1509,42.9,166,0,0,0,0,0,0
34668,H36881,H,300.3,311.6,1376,41.6,102,0,0,0,0,0,0
34669,L54615,L,300.2,311.6,2055,16.0,20,0,0,0,0,0,0
34670,L54104,L,301.2,311.3,1660,32.2,208,0,0,0,0,0,0
34671,L54073,L,301.0,311.6,1570,43.4,133,0,0,0,0,0,0
34672,H35511,H,300.9,310.7,1477,38.4,31,0,0,0,0,0,0
34673,L50677,L,301.9,311.0,1642,32.0,69,0,0,0,0,0,0
34674,L47825,L,297.7,309.2,1392,60.7,140,0,0,0,0,0,0
34675,L53709,L,301.2,310.4,1501,37.2,57,0,0,0,0,0,0
34676,M15994,M,296.9,307.8,1528,50.7,174,0,0,0,0,0,0
34677,L56411,L,298.2,309.0,1743,26.6,134,0,0,0,0,0,0
34678,L54868,L,300.7,311.7,1541,39.8,19,0,0,0,0,0,0
34679,L55696,L,298.2,309.5,1681,28.8,189,0,0,0,0,0,0
34680,H33905,H,302.6,310.4,1494,37.2,19,0,0,0,0,0,0
34681,L50236,L,300.2,309.2,1667,28.1,75,0,0,0,0,0,0
34682,M18526,M,302.3,311.6,1525,37.9,136,0,0,0,0,0,0
34683,L53861,L,301.6,310.9,1408,45.1,114,0,0,0,0,0,0
34684,L50088,L,300.7,309.8,1251,59.9,120,0,0,0,0,0,0
34685,L53900,L,301.3,310.6,1389,48.0,87,0,0,0,0,0,0
34686,L50456,L,301.3,310.0,1560,40.9,7,0,0,0,0,0,0
34687,L51964,L,303.9,312.6,1641,35.5,125,0,0,0,0,0,0
34688,L51451,L,301.9,310.0,1737,26.2,5,0,0,0,0,0,0
34689,L51154,L,302.4,311.5,1462,39.9,44,0,0,0,0,0,0
34690,M15465,M,297.9,309.8,1560,37.0,0,0,0,0,0,0,0
34691,H36284,H,300.7,311.3,1597,44.4,66,0,0,0,0,0,0
34692,L47518,L,297.5,308.2,1477,38.2,15,0,0,0,0,0,0
34693,M17085,M,299.8,309.0,1459,42.1,158,0,0,0,0,0,0
34694,L48453,L,298.1,308.5,1506,46.4,63,0,0,0,0,0,0
34695,L47183,L,298.1,308.6,1444,39.5,8,0,0,0,0,0,0
34696,L54228,L,300.6,310.5,1451,45.5,184,0,0,0,0,0,0
34697,M21791,M,300.7,311.4,1612,30.0,49,0,0,0,0,0,0
34698,M16582,M,298.2,307.7,1384,49.8,109,0,0,0,0,0,0
34699,L50584,L,301.5,310.4,1533,42.6,119,0,0,0,0,0,0
34700,M15232,M,297.4,308.3,1804,25.5,28,0,0,0,0,0,0
34701,L57141,L,298.2,307.9,1599,32.5,0,0,0,0,0,0,0
34702,L48492,L,298.9,310.1,1473,35.2,164,0,0,0,0,0,0
34703,H34643,H,303.9,313.1,1430,53.6,17,0,0,0,0,0,0
34704,M17696,M,300.3,309.1,1449,44.1,183,0,0,0,0,0,0
34705,L48365,L,297.3,308.4,1491,46.5,146,0,0,0,0,0,0
34706,L56942,L,298.6,309.7,1925,22.1,115,0,0,0,0,0,0
34707,M22703,M,300.7,311.8,1408,42.5,205,0,0,0,0,0,0
34708,L47990,L,296.7,307.4,1607,35.4,124,0,0,0,0,0,0
34709,L50599,L,301.6,310.8,1435,42.4,142,0,0,0,0,0,0
34710,M17279,M,298.9,308.2,1536,38.2,11,0,0,0,0,0,0
34711,M16743,M,298.1,307.6,1581,39.7,116,0,0,0,0,0,0
34712,L50291,L,300.0,309.2,1759,27.0,5,0,0,0,0,0,0
34713,L48983,L,298.2,307.7,1402,50.0,59,0,0,0,0,0,0
34714,L49589,L,299.0,308.6,1569,46.8,190,0,0,0,0,0,0
34715,M16370,M,298.1,308.9,1435,43.2,181,0,0,0,0,0,0
34716,M24299,M,298.1,308.6,1433,48.2,192,0,0,0,0,0,0
34717,L48332,L,297.1,307.9,1691,30.8,115,0,0,0,0,0,0
34718,M15755,M,296.9,307.9,1627,32.6,84,0,0,0,0,0,0
34719,M23180,M,298.8,310.0,1681,27.3,0,0,0,0,0,0,0
34720,L54088,L,300.8,311.2,1379,46.8,171,0,0,0,0,0,0
34721,M15547,M,297.7,309.2,1471,45.7,0,0,0,0,0,0,0
34722,M16393,M,298.0,308.4,1355,46.6,142,0,0,0,0,0,1
34723,L54121,L,300.7,311.4,1374,50.7,142,0,0,0,0,0,0
34724,M24053,M,297.9,309.0,1426,52.4,39,0,0,0,0,0,0
34725,L53059,L,301.4,311.0,1701,35.1,24,0,0,0,0,0,0
34726,L48407,L,297.1,308.4,1487,42.1,148,0,0,0,0,0,0
34727,L53987,L,301.0,310.8,1549,41.0,119,0,0,0,0,0,0
34728,L54665,L,300.3,311.6,1429,43.8,7,0,0,0,0,0,0
34729,L56223,L,297.4,308.4,1573,35.0,132,0,0,0,0,0,0
34730,L56261,L,297.3,308.0,1527,53.4,165,0,0,0,0,0,0
34731,L48484,L,299.0,310.2,1851,21.9,68,0,0,0,0,0,0
34732,L55359,L,299.8,311.2,1490,41.9,171,0,0,0,0,0,0
34733,L48684,L,298.0,308.7,1566,47.0,51,0,0,0,0,0,0
34734,L51203,L,302.0,310.8,1366,55.7,203,1,0,0,0,1,0
34735,M19233,M,301.9,309.9,1560,33.0,104,0,0,0,0,0,0
34736,L55797,L,297.5,308.5,1388,46.0,74,0,0,0,0,0,0
34737,M15600,M,296.9,308.5,1450,46.9,186,0,0,0,0,0,0
34738,L56016,L,297.3,308.9,1439,49.8,9,0,0,0,0,0,0
34739,M23338,M,298.5,309.7,1578,34.5,170,0,0,0,0,0,0
34740,L56147,L,297.1,308.1,1470,46.3,92,0,0,0,0,0,0
34741,M17283,M,298.9,308.4,1296,60.4,175,0,0,0,0,0,0
34742,L48325,L,297.1,308.1,1533,37.1,155,0,0,0,0,0,0
34743,L48559,L,298.8,310.2,1616,31.8,110,0,0,0,0,0,0
34744,L53617,L,300.4,310.2,1455,39.6,40,0,0,0,0,0,0
34745,L50742,L,301.8,310.6,1471,53.3,16,0,0,0,0,0,0
34746,L48607,L,298.7,309.9,1394,40.3,24,0,0,0,0,0,0
34747,L55981,L,297.4,308.6,1431,43.4,80,0,0,0,0,0,0
34748,L47345,L,297.4,308.4,1472,45.2,17,0,0,0,0,0,0
34749,L53271,L,300.9,310.7,1412,49.1,16,0,0,0,0,0,0
34750,L56776,L,298.9,310.1,1466,44.4,50,0,0,0,0,0,0
34751,L54329,L,300.2,309.9,1452,40.6,181,0,0,0,0,0,0
34752,L55266,L,300.2,311.4,1463,39.0,145,0,0,0,0,0,0
34753,L54018,L,301.0,311.1,1852,23.6,202,0,0,0,0,0,0
34754,M18637,M,302.4,311.2,1721,30.1,210,0,0,0,0,0,0
34755,M22349,M,300.1,311.4,1590,33.5,162,0,0,0,0,0,0
34756,L53030,L,301.3,311.2,1550,44.3,47,0,0,0,0,0,0
34757,L49079,L,297.8,307.5,1382,53.8,159,0,0,0,0,0,0
34758,L56424,L,298.5,309.1,1379,49.6,168,0,0,0,0,0,0
34759,L49792,L,299.4,309.1,1416,47.8,57,0,0,0,0,0,0
34760,L54275,L,300.6,310.1,1485,40.8,19,0,0,0,0,0,0
34761,L55665,L,298.4,309.6,1439,43.5,124,0,0,0,0,0,0
34762,L54126,L,300.7,311.3,1516,39.4,0,0,0,0,0,0,0
34763,L54258,L,300.7,310.5,1761,30.5,219,0,0,0,0,0,0
34764,L52781,L,302.9,312.2,1412,41.8,86,0,0,0,0,0,0
34765,L54591,L,300.0,311.1,1503,44.0,199,0,0,0,0,0,0
34766,L51443,L,302.6,311.0,1410,36.2,139,0,0,0,0,0,0
34767,M18261,M,301.9,310.4,1421,42.4,166,0,0,0,0,0,0
34768,L53140,L,300.5,310.7,1606,31.9,121,0,0,0,0,0,0
34769,L49358,L,299.6,309.2,1645,30.8,31,0,0,0,0,0,0
34770,L51173,L,302.3,311.2,1487,47.8,131,0,0,0,0,0,0
34771,L55968,L,297.4,308.5,1511,41.9,43,0,0,0,0,0,0
34772,L55297,L,300.3,311.7,1446,47.5,196,0,0,0,0,0,0
34773,L54014,L,301.1,311.0,1436,52.7,26,0,0,0,0,0,0
34774,L49571,L,299.2,308.4,1515,37.2,146,0,0,0,0,0,0
34775,L48840,L,298.2,308.0,1499,31.1,94,0,0,0,0,0,0
34776,M19403,M,302.5,310.5,1492,39.9,174,0,0,0,0,0,0
34777,L52032,L,303.7,312.2,1531,41.5,2,0,0,0,0,0,0
34778,L49690,L,299.1,309.0,1405,31.9,18,0,0,0,0,0,0
34779,L49105,L,298.0,308.3,1418,47.9,16,0,0,0,0,0,0
34780,L50902,L,302.2,311.1,1451,41.8,2,0,0,0,0,0,0
34781,L56887,L,299.0,310.1,1699,38.0,87,0,0,0,0,0,0
34782,L47529,L,297.5,308.4,1577,34.6,41,0,0,0,0,0,0
34783,L53140,L,300.6,310.7,1546,33.5,121,0,0,0,0,0,0
34784,L49908,L,299.7,309.3,1420,45.5,129,0,0,0,0,0,0
34785,M20248,M,302.8,312.3,1559,38.1,218,0,0,0,0,0,0
34786,L49629,L,299.3,308.7,1483,48.6,150,0,0,0,0,0,0
34787,M18688,M,302.6,311.5,1555,35.5,169,0,0,0,0,0,0
34788,L56343,L,297.6,308.8,1375,46.7,75,0,0,0,0,0,0
34789,L49023,L,297.6,307.1,1496,39.2,5,0,0,0,0,0,0
34790,M17661,M,300.2,309.5,1517,38.1,176,0,0,0,0,0,0
34791,L47633,L,297.4,308.6,1511,40.8,92,0,0,0,0,0,0
34792,L55350,L,299.9,311.3,1534,37.0,153,0,0,0,0,0,0
34793,M18811,M,302.3,311.2,1608,32.6,22,0,0,0,0,0,0
34794,L51606,L,302.5,310.2,1479,40.4,97,0,0,0,0,0,0
34795,L47244,L,299.0,309.1,1393,45.3,92,0,0,0,0,0,0
34796,L48054,L,295.8,306.4,1339,52.5,85,0,0,0,0,0,0
34797,L53828,L,301.5,310.4,1508,37.5,148,0,0,0,0,0,0
34798,L56484,L,298.3,309.1,1537,43.0,89,0,0,0,0,0,0
34799,L55646,L,298.7,309.8,1621,38.4,62,0,0,0,0,0,0
34800,L50101,L,300.8,309.8,1449,42.4,151,0,0,0,0,0,0
34801,M18373,M,301.9,310.8,1581,36.8,114,0,0,0,0,0,0
34802,L50691,L,301.8,311.0,1329,55.6,195,0,0,0,0,0,0
34803,M18584,M,302.3,311.2,1477,46.3,144,0,0,0,0,0,0
34804,M22852,M,301.1,312.3,1612,25.9,131,0,0,0,0,0,0
34805,M24042,M,297.8,308.8,1608,35.0,98,0,0,0,0,0,0
34806,L51638,L,302.6,310.4,1478,41.7,129,0,0,0,0,0,0
34807,M24245,M,297.5,308.1,1907,23.5,26,0,0,0,0,0,0
34808,L56131,L,297.3,308.1,1763,26.8,54,0,0,0,0,0,0
34809,L50474,L,301.3,310.2,1457,39.7,30,0,0,0,0,0,0
34810,L50542,L,301.4,310.6,1403,43.9,210,0,0,0,0,0,0
34811,L55014,L,300.0,311.4,1448,46.7,173,0,0,0,0,0,0
34812,L49743,L,299.3,309.1,1477,41.2,153,0,0,0,0,0,0
34813,L50902,L,302.3,311.2,1447,41.8,66,0,0,0,0,0,0
34814,L51004,L,302.3,310.9,1596,34.3,155,0,0,0,0,0,0
34815,L49315,L,299.3,309.0,1511,46.7,148,0,0,0,0,0,0
34816,M23913,M,297.4,308.5,1638,32.1,84,0,0,0,0,0,0
34817,L56821,L,299.3,310.4,1483,43.8,171,0,0,0,0,0,0
34818,L51412,L,302.2,310.1,1335,48.6,152,1,0,1,0,0,0
34819,H31152,H,298.1,307.8,1880,24.8,43,0,0,0,0,0,0
34820,H38295,H,298.0,309.2,1438,37.9,89,0,0,0,0,0,0
34821,M18524,M,302.3,311.7,1393,49.7,130,0,0,0,0,0,0
34822,M21131,M,300.9,310.7,1474,36.9,129,0,0,0,0,0,0
34823,L55620,L,298.6,309.9,1370,36.6,137,0,0,0,0,0,0
34824,L56070,L,297.7,308.8,1616,34.2,116,0,0,0,0,0,0
34825,M23246,M,298.7,309.9,1501,37.1,96,0,0,0,0,0,0
34826,L49295,L,299.4,309.0,1350,47.3,86,0,0,0,0,0,0
34827,L47301,L,297.3,308.3,1484,44.8,37,0,0,0,0,0,0
34828,M21132,M,300.9,310.6,1614,31.0,40,0,0,0,0,0,0
34829,L47783,L,297.9,308.9,1537,39.9,29,0,0,0,0,0,0
34830,L51822,L,303.2,311.4,1238,51.7,226,1,0,1,0,0,0
34831,L48470,L,298.6,309.8,1542,45.8,119,0,0,0,0,0,0
34832,L55945,L,297.5,308.8,1353,49.4,188,0,0,0,0,0,0
34833,L49935,L,299.8,309.4,1761,26.8,199,0,0,0,0,0,0
34834,L53202,L,300.7,310.6,1608,31.7,60,0,0,0,0,0,0
34835,L47677,L,297.4,309.0,1529,39.2,96,0,0,0,0,0,0
34836,L55197,L,300.9,312.0,1518,39.3,196,0,0,0,0,0,0
34837,L55216,L,300.7,311.7,1457,47.3,74,0,0,0,0,0,0
34838,L55668,L,298.4,309.4,1385,43.2,135,0,0,0,0,0,0
34839,M23568,M,297.3,308.5,1377,57.7,168,0,0,0,0,0,0
34840,M18248,M,301.7,310.8,1432,45.7,67,0,0,0,0,0,0
34841,L57126,L,298.3,307.9,1498,45.3,124,0,0,0,0,0,0
34842,L47466,L,297.9,308.1,1749,28.4,80,0,0,0,0,0,0
34843,M22107,M,300.0,310.1,1556,44.5,199,0,0,0,0,0,0
34844,L54239,L,300.6,310.6,1645,32.9,148,0,0,0,0,0,0
34845,L51187,L,302.1,311.3,1688,30.0,169,0,0,0,0,0,0
34846,M21142,M,301.0,310.8,1877,22.8,66,0,0,0,0,0,0
34847,L54377,L,300.0,310.0,1486,46.4,69,0,0,0,0,0,0
34848,M22239,M,299.7,310.5,1804,26.0,96,0,0,0,0,0,0
34849,L55265,L,300.2,311.4,1441,43.0,143,0,0,0,0,0,0
34850,L51893,L,303.5,312.1,1401,50.8,168,0,0,0,0,0,0
34851,H34115,H,303.7,312.5,1507,38.7,143,0,0,0,0,0,0
34852,L55233,L,300.2,311.5,1458,42.7,56,0,0,0,0,0,0
34853,L51364,L,302.2,310.6,1297,62.3,159,1,0,1,0,0,0
34854,L54349,L,300.3,310.3,1458,40.3,2,0,0,0,0,0,0
34855,L56740,L,299.6,310.8,1487,36.9,0,0,0,0,0,0,0
34856,L49840,L,299.8,309.4,1595,36.3,188,0,0,0,0,0,0
34857,L51673,L,302.7,310.5,1692,28.8,146,0,0,0,0,0,0
34858,M15431,M,297.8,309.0,1312,60.5,178,0,0,0,0,0,0
34859,L54833,L,300.5,311.6,1629,33.4,149,0,0,0,0,0,0
34860,M17736,M,300.5,309.3,1521,43.2,98,0,0,0,0,0,0
34861,M18193,M,301.5,310.4,1536,40.4,104,0,0,0,0,0,0
34862,L49207,L,298.7,308.4,1750,25.8,15,0,0,0,0,0,0
34863,L49769,L,299.0,308.7,2250,16.6,0,0,0,0,0,0,0
34864,L55280,L,300.3,311.9,1682,35.9,10,0,0,0,0,0,0
34865,L56674,L,298.9,309.8,1394,41.9,219,0,0,0,0,0,0
34866,L50709,L,301.9,310.9,1471,39.8,4,0,0,0,0,0,0
34867,L53754,L,301.4,310.6,1433,42.7,181,0,0,0,0,0,0
34868,L56161,L,297.0,307.7,1502,46.8,126,0,0,0,0,0,0
34869,M14895,M,298.5,309.1,1456,48.6,98,0,0,0,0,0,0
34870,L55142,L,301.0,312.2,1697,34.8,77,0,0,0,0,0,0
34871,M22875,M,301.0,312.0,1346,57.5,190,0,0,0,0,0,0
34872,L55270,L,300.1,311.4,1910,44.0,153,0,0,0,0,0,0
34873,M15556,M,297.6,309.0,1403,40.3,174,0,0,0,0,0,0
34874,L55518,L,298.8,309.7,1740,31.1,135,0,0,0,0,0,0
34875,M17014,M,299.3,308.9,1727,26.1,148,0,0,0,0,0,0
34876,L48913,L,298.4,308.2,1470,45.7,20,0,0,0,0,0,0
34877,L55778,L,297.6,308.3,1625,36.8,176,0,0,0,0,0,0
34878,L53271,L,300.9,310.7,1488,40.1,16,0,0,0,0,0,0
34879,L56446,L,298.2,308.9,1737,27.0,121,0,0,0,0,0,0
34880,H32292,H,300.5,309.4,1550,33.9,40,0,0,0,0,0,0
34881,L56793,L,299.0,310.2,1480,39.7,92,0,0,0,0,0,0
34882,L54095,L,301.0,311.2,1484,36.2,176,0,0,0,0,0,0
34883,H33674,H,302.7,310.6,1478,38.7,147,0,0,0,0,0,0
34884,L54253,L,300.7,310.6,1491,47.6,187,0,0,0,0,0,0
34885,M22587,M,300.7,311.7,1601,35.6,184,0,0,0,0,0,0
34886,L54551,L,299.6,310.2,1341,52.5,66,0,0,0,0,0,0
34887,L54348,L,300.3,310.1,1402,42.9,0,0,0,0,0,0,0
34888,L54930,L,300.4,311.7,1655,32.3,174,0,0,0,0,0,0
34889,L53062,L,301.4,311.1,1524,36.7,64,0,0,0,0,0,0
34890,L56739,L,299.5,310.9,1477,38.5,12,0,0,0,0,0,0
34891,L49216,L,299.0,308.6,1466,37.2,96,0,0,0,0,0,0
34892,L50698,L,301.9,311.0,1625,31.3,186,0,0,0,0,0,0
34893,H39163,H,298.8,310.1,1613,35.4,192,0,0,0,0,0,0
34894,L50969,L,302.3,310.8,1650,32.4,166,0,0,0,0,0,0
34895,L48894,L,298.2,307.8,1491,37.1,181,0,0,0,0,0,0
34896,L55510,L,298.8,309.7,1449,39.0,139,0,0,0,0,0,0
34897,L53565,L,300.1,309.7,1648,28.8,192,0,0,0,0,0,0
34898,H32366,H,300.7,309.5,1548,40.8,41,0,0,0,0,0,0
34899,M15398,M,297.4,309.3,1445,43.3,15,0,0,0,0,0,0
34900,L54162,L,300.7,311.0,1440,42.0,2,0,0,0,0,0,0
34901,L48013,L,296.6,307.5,1498,38.6,64,0,0,0,0,0,0
34902,L50627,L,301.8,310.6,1544,41.4,216,0,0,0,0,0,0
34903,L56264,L,297.2,307.9,1426,43.7,174,0,0,0,0,0,0
34904,L50486,L,301.4,310.5,1432,54.3,148,0,0,0,0,0,0
34905,L52488,L,304.0,313.3,1376,50.9,142,0,0,0,0,0,0
34906,L55584,L,298.4,309.5,1542,36.6,117,0,0,0,0,0,0
34907,L53828,L,301.5,310.8,1491,41.4,102,0,0,0,0,0,0
34908,L51565,L,302.1,309.7,1439,44.6,227,0,0,0,0,0,0
34909,L49640,L,298.9,308.6,1471,44.2,184,0,0,0,0,0,0
34910,L50996,L,302.1,310.6,1459,42.5,93,0,0,0,0,0,0
34911,M22024,M,300.2,310.4,1526,40.0,205,0,0,0,0,0,0
34912,L55017,L,300.3,311.5,1585,38.0,193,0,0,0,0,0,0
34913,L51628,L,302.6,310.3,1396,47.0,44,0,0,0,0,0,0
34914,L56531,L,298.3,308.7,1645,30.4,64,0,0,0,0,0,0
34915,M15664,M,296.9,307.8,1544,37.6,104,0,0,0,0,0,0
34916,L49255,L,299.6,309.4,1390,54.8,87,0,0,0,0,0,0
34917,L50688,L,301.7,310.9,1715,27.6,160,0,0,0,0,0,0
34918,M20421,M,302.3,311.7,1510,39.3,192,0,0,0,0,0,0
34919,L47967,L,296.9,308.1,1453,45.1,64,0,0,0,0,0,0
34920,L48705,L,298.2,309.0,1401,47.9,47,0,0,0,0,0,0
34921,M21888,M,300.6,310.6,1403,50.4,24,0,0,0,0,0,0
34922,L47604,L,297.4,308.4,1550,33.4,15,0,0,0,0,0,0
